experiment_id,timestamp_utc,harness_id,pipeline,data_path,data_sha256,row_ok_only,limit,n,exact_label_accuracy,monthly_rate_accuracy_tolerance_15pct,pragmatic_micro_f1,purist_micro_f1,run_record_path,description
20260424T083823Z_h002_multi_agent_verify_n20,2026-04-24T08:38:23Z,h002_multi_agent_verify,multi,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,20,20,0.4,0.7,0.7,0.7,project_state/runs/20260424T083823Z_h002_multi_agent_verify_n20.json,multi baseline smoke for harness infrastructure
20260424T083902Z_h001_single_pass_n20,2026-04-24T08:39:02Z,h001_single_pass,single,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,20,20,0.35,0.65,0.65,0.65,project_state/runs/20260424T083902Z_h001_single_pass_n20.json,single baseline smoke for paired harness comparison
20260424T085945Z_h002_multi_agent_verify_n100,2026-04-24T08:59:45Z,h002_multi_agent_verify,multi,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,100,100,0.17,0.32,0.37,0.36,project_state/runs/20260424T085945Z_h002_multi_agent_verify_n100.json,multi candidate retrieval expansion smoke
20260424T085948Z_h001_single_pass_n100,2026-04-24T08:59:48Z,h001_single_pass,single,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,100,100,0.17,0.33,0.4000000000000001,0.38,project_state/runs/20260424T085948Z_h001_single_pass_n100.json,single paired baseline after retrieval expansion smoke
20260424T090105Z_h002_multi_agent_verify_n100,2026-04-24T09:01:05Z,h002_multi_agent_verify,multi,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,100,100,0.2,0.35,0.41999999999999993,0.4000000000000001,project_state/runs/20260424T090105Z_h002_multi_agent_verify_n100.json,multi adjacent-window candidate retrieval smoke
20260424T090110Z_h001_single_pass_n100,2026-04-24T09:01:10Z,h001_single_pass,single,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,100,100,0.18,0.33,0.4000000000000001,0.38,project_state/runs/20260424T090110Z_h001_single_pass_n100.json,single paired baseline after adjacent-window retrieval smoke
20260424T144559Z_h002_multi_agent_verify_n100,2026-04-24T14:45:59Z,h002_multi_agent_verify,multi,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,100,100,0.31,0.48,0.55,0.53,project_state/runs/20260424T144559Z_h002_multi_agent_verify_n100.json,multi seizure-free detection expansion smoke
20260424T144606Z_h001_single_pass_n100,2026-04-24T14:46:06Z,h001_single_pass,single,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,100,100,0.25,0.43,0.5,0.48,project_state/runs/20260424T144606Z_h001_single_pass_n100.json,single paired baseline after seizure-free expansion smoke
20260424T171400Z_h003_single_prompt_llm_n5,2026-04-24T17:14:00Z,h003_single_prompt_llm,single_llm,synthetic_data_subset_1500.json,cf13b498609079d37ba7ccd4cb9886b7d8a60a8bcd75e48ab5b4debb939b1c21,true,5,5,0.2,0.2,0.20000000000000004,0.20000000000000004,project_state/runs/20260424T171400Z_h003_single_prompt_llm_n5.json,h003 local ollama qwen3.5 4b smoke
